Time,ConcRT (ug/m3),ConcHR (ug/m3),Flow (lpm),WS (m/s),WD (Deg),AT (C),RH (%),BP (mmHg),FT (C),FRH (%),BV (V),PM,Status,
2023-01-13 19:00:00,25,20,16.7,0,0,20.5,53,650,23.1,26,12.3,0,256,
2023-01-13 19:05:00,24,20,16.7,0,0,21,51,650,23.4,26,12.3,0,256,
2023-01-13 19:10:00,4,20,16.7,0,0,21,51,650,23.5,28,12.3,0,256,
2023-01-13 19:15:00,20,20,16.7,0,0,20.9,51,650,23.5,28,12.3,0,256,
2023-01-13 19:20:00,29,20,16.7,0,0,20.8,52,650,23.6,27,12.3,0,256,
2023-01-13 19:25:00,47,20,16.7,0,0,20.7,52,650,23.7,27,12.3,0,256,
2023-01-13 19:30:00,24,20,16.7,0,0,20.7,52,650,23.8,28,12.3,0,256,
2023-01-13 19:35:00,24,20,16.7,0,0,20.6,53,650,23.9,27,12.3,0,256,
2023-01-13 19:40:00,20,20,16.7,0,0,20.6,53,650,24,28,12.3,0,256,
2023-01-13 19:45:00,37,20,16.7,0,0,20.6,53,650,24.1,28,12.3,0,256,
2023-01-13 19:50:00,15,20,16.7,0,0,20.6,53,650,24.3,28,12.3,0,256,
2023-01-13 19:55:00,13,20,16.7,0,0,20.3,50,650,24.3,28,12.3,0,256,
2023-01-13 20:00:00,10,24,16.7,0,0,20.2,55,650,24.4,30,12.3,0,0,
2023-01-13 20:05:00,29,24,16.7,0,0,20.8,54,650,24.8,29,12.3,0,0,
2023-01-13 20:10:00,34,24,16.7,0,0,20.9,53,651,25,30,12.3,0,0,
2023-01-13 20:15:00,38,24,16.7,0,0,20.7,54,651,25.2,30,12.3,0,0,
2023-01-13 20:20:00,31,24,16.7,0,0,20.7,55,651,25.3,29,12.3,0,0,
2023-01-13 20:25:00,35,24,16.7,0,0,20.7,52,651,25.4,29,12.3,0,0,
2023-01-13 20:30:00,22,24,16.7,0,0,20.4,54,651,25.3,28,12.3,0,0,
2023-01-13 20:35:00,7,24,16.7,0,0,20.7,56,651,25.4,28,12.3,0,0,
2023-01-13 20:40:00,10,24,16.7,0,0,20.9,55,651,25.6,28,12.3,0,0,
2023-01-13 20:45:00,15,24,16.7,0,0,20.8,56,651,25.6,27,12.3,0,0,
2023-01-13 20:50:00,27,24,16.7,0,0,20.8,55,651,25.6,27,12.3,0,0,
2023-01-13 20:55:00,38,24,16.7,0,0,20.9,55,651,25.6,28,12.3,0,0,
2023-01-13 21:00:00,41,16,16.7,0,0,20.6,52,651,25.5,29,12.3,0,0,
2023-01-13 21:05:00,17,16,16.7,0,0,20.5,58,651,25.5,29,12.3,0,0,
2023-01-13 21:10:00,-14,16,16.7,0,0,21,56,651,25.7,29,12.3,0,0,
2023-01-13 21:15:00,-15,16,16.7,0,0,21,56,651,25.7,29,12.3,0,0,
2023-01-13 21:20:00,9,16,16.7,0,0,20.8,57,651,25.6,29,12.3,0,0,
2023-01-13 21:25:00,22,16,16.7,0,0,20.8,57,651,25.6,29,12.3,0,0,
2023-01-13 21:30:00,26,16,16.7,0,0,20.7,54,651,25.5,28,12.3,0,0,
2023-01-13 21:35:00,11,16,16.7,0,0,20.5,58,651,25.5,29,12.3,0,0,
2023-01-13 21:40:00,2,16,16.7,0,0,20.9,58,651,25.6,29,12.3,0,0,
2023-01-13 21:45:00,18,16,16.7,0,0,21.1,57,651,25.7,29,12.3,0,0,
2023-01-13 21:50:00,24,16,16.7,0,0,21,57,651,25.6,30,12.3,0,0,
2023-01-13 21:55:00,28,16,16.7,0,0,21,58,651,25.6,30,12.3,0,0,
2023-01-13 22:00:00,13,20,16.7,0,0,21.2,57,651,25.7,30,12.3,0,0,
2023-01-13 22:05:00,9,20,16.7,0,0,21,54,651,25.6,30,12.3,0,0,
2023-01-13 22:10:00,-3,20,16.7,0,0,21,59,651,25.6,30,12.3,0,0,
2023-01-13 22:15:00,-15,20,16.7,0,0,21.2,58,651,25.7,30,12.3,0,0,
2023-01-13 22:20:00,-15,20,16.7,0,0,21.4,58,651,25.7,30,12.3,0,0,
2023-01-13 22:25:00,4,20,16.7,0,0,21.4,58,651,25.8,30,12.3,0,0,
2023-01-13 22:30:00,24,20,16.7,0,0,21.5,58,651,25.8,30,12.3,0,0,
2023-01-13 22:35:00,33,20,16.7,0,0,21.2,51,651,25.7,30,12.3,0,0,
2023-01-13 22:40:00,27,20,16.7,0,0,20.7,59,651,25.5,30,12.3,0,0,
2023-01-13 22:45:00,20,20,16.7,0,0,20.9,61,651,25.5,30,12.3,0,0,
2023-01-13 22:50:00,4,20,16.7,0,0,21.1,60,651,25.6,30,12.3,0,0,
2023-01-13 22:55:00,4,20,16.7,0,0,21.3,60,651,25.6,30,12.3,0,0,
2023-01-13 23:00:00,8,18,16.7,0,0,21.3,60,651,25.6,29,12.3,0,0,
2023-01-13 23:05:00,21,18,16.7,0,0,21.3,58,651,25.6,29,12.3,0,0,
2023-01-13 23:10:00,20,18,16.7,0,0,20.9,57,651,25.5,29,12.3,0,0,
2023-01-13 23:15:00,31,18,16.7,0,0,20.9,62,651,25.5,29,12.3,0,0,
2023-01-13 23:20:00,28,18,16.7,0,0,21.1,61,651,25.5,29,12.3,0,0,
2023-01-13 23:25:00,24,18,16.7,0,0,21.2,61,651,25.6,29,12.3,0,0,
2023-01-13 23:30:00,9,18,16.7,0,0,21.2,61,651,25.6,28,12.3,0,0,
2023-01-13 23:35:00,10,18,16.7,0,0,21.2,61,651,25.6,28,12.3,0,0,
2023-01-13 23:40:00,16,18,16.7,0,0,21,56,651,25.5,28,12.3,0,0,
2023-01-13 23:45:00,17,18,16.7,0,0,20.8,62,651,25.4,28,12.3,0,0,
2023-01-13 23:50:00,18,18,16.7,0,0,21,62,651,25.4,28,12.3,0,0,
2023-01-13 23:55:00,18,18,16.7,0,0,21.1,61,651,25.5,28,12.3,0,0,
2023-01-14 00:00:00,19,13,16.7,0,0,21.2,61,651,25.5,28,12.3,0,0,
2023-01-14 00:05:00,7,13,16.2,0,0,21.2,61,651,25.3,30,12.3,0,0,
2023-01-14 00:10:00,-4,13,16.7,0,0,21.2,58,651,25.3,30,12.3,0,0,
2023-01-14 00:15:00,-15,13,16.7,0,0,20.8,60,651,25.2,30,12.3,0,0,
2023-01-14 00:20:00,-15,13,16.7,0,0,20.8,63,651,25.2,30,12.3,0,0,
2023-01-14 00:25:00,-11,13,16.7,0,0,21,62,651,25.3,30,12.3,0,0,
2023-01-14 00:30:00,4,13,16.7,0,0,21.1,62,651,25.3,30,12.3,0,0,
2023-01-14 00:35:00,25,13,16.7,0,0,21.2,61,651,25.4,29,12.3,0,0,
2023-01-14 00:40:00,24,13,16.7,0,0,21.2,61,651,25.4,29,12.3,0,0,
2023-01-14 00:45:00,14,13,16.7,0,0,20.9,56,651,25.3,29,12.3,0,0,
2023-01-14 00:50:00,6,13,16.7,0,0,20.8,63,651,25.2,29,12.3,0,0,
2023-01-14 00:55:00,13,13,16.7,0,0,20.9,63,651,25.2,29,12.3,0,0,
2023-01-14 01:00:00,15,4,16.7,0,0,21,62,651,25.3,29,12.3,0,0,
2023-01-14 01:05:00,5,4,16.7,0,0,21.1,62,651,25.3,29,12.3,0,0,
2023-01-14 01:10:00,-8,4,16.7,0,0,21.1,61,651,25.3,29,12.3,0,0,
2023-01-14 01:15:00,5,4,16.7,0,0,21.1,57,651,25.3,29,12.3,0,0,
2023-01-14 01:20:00,18,4,16.7,0,0,20.7,61,651,25.2,29,12.3,0,0,
2023-01-14 01:25:00,23,4,16.7,0,0,20.8,63,651,25.2,29,12.3,0,0,
2023-01-14 01:30:00,6,4,16.7,0,0,20.9,62,651,25.2,29,12.3,0,0,
2023-01-14 01:35:00,-3,4,16.7,0,0,20.9,62,651,25.2,29,12.3,0,0,
2023-01-14 01:40:00,4,4,16.7,0,0,21,62,651,25.2,29,12.3,0,0,
2023-01-14 01:45:00,20,4,16.7,0,0,21,61,651,25.2,29,12.3,0,0,
2023-01-14 01:50:00,11,4,16.7,0,0,20.6,57,651,25.1,29,12.3,0,0,
2023-01-14 01:55:00,-1,4,16.7,0,0,20.6,64,651,25,29,12.3,0,0,
2023-01-14 02:00:00,-1,12,16.7,0,0,20.7,63,651,25,30,12.3,0,0,
2023-01-14 02:05:00,10,12,16.7,0,0,20.8,63,651,25.1,30,12.3,0,0,
2023-01-14 02:10:00,8,12,16.7,0,0,20.9,62,651,25.1,29,12.3,0,0,
2023-01-14 02:15:00,99999,99999,2.5,0,0,21.1,61,651,24.7,31,12.3,0,384,
2023-01-14 02:20:00,99999,99999,16.7,0,0,21.6,59,651,24.4,30,12.3,0,256,
2023-01-14 02:25:00,99999,99999,16.7,0,0,21.1,42,651,23.3,30,12.3,0,256,
2023-01-14 02:30:00,99999,99999,16.7,0,0,19.8,50,651,22.1,31,12.3,0,256,
2023-01-14 02:35:00,80004,99999,16.7,0,0,19.8,66,651,21.6,33,12.3,0,256,
2023-01-14 02:40:00,39,99999,16.7,0,0,19.9,68,651,21.3,34,12.3,0,256,
2023-01-14 02:45:00,34,99999,16.7,0,0,20.1,67,651,21.2,35,12.3,0,256,
2023-01-14 02:50:00,19,99999,16.7,0,0,20.2,67,651,21.1,35,12.3,0,256,
2023-01-14 02:55:00,-7,99999,16.7,0,0,20.3,66,651,21.1,35,12.3,0,256,
2023-01-14 03:00:00,0,13,16.7,0,0,20.2,60,651,21.2,35,12.3,0,256,
2023-01-14 03:05:00,-1,13,16.7,0,0,20,64,651,21.1,36,12.3,0,256,
2023-01-14 03:10:00,11,13,16.7,0,0,20.1,66,651,21.2,36,12.3,0,256,
2023-01-14 03:15:00,-6,13,16.7,0,0,20.2,66,651,21.4,36,12.3,0,256,
2023-01-14 03:20:00,-1,13,16.7,0,0,20.3,65,651,21.6,36,12.3,0,256,
2023-01-14 03:25:00,-7,13,16.7,0,0,20.3,65,651,21.7,36,12.3,0,256,
2023-01-14 03:30:00,6,13,16.7,0,0,20.4,63,651,21.9,36,12.3,0,256,
2023-01-14 03:35:00,5,13,16.7,0,0,20,59,651,22,35,12.3,0,256,
