Time,ConcRT (ug/m3),ConcHR (ug/m3),Flow (lpm),WS (m/s),WD (Deg),AT (C),RH (%),BP (mmHg),FT (C),FRH (%),BV (V),PM,Status,
2023-03-23 10:45:00,-4,9,16.7,2.5,108,21.2,47,637,30.1,20,12.4,0,0,
2023-03-23 10:50:00,-4,9,16.7,2.9,127,20.6,47,637,30.3,19,12.4,0,0,
2023-03-23 10:55:00,1,9,16.7,2.7,93,21.3,45,637,30.4,19,12.4,0,0,
2023-03-23 11:00:00,22,3,16.7,2.9,104,21.1,45,637,30.6,19,12.4,0,0,
2023-03-23 11:05:00,22,3,16.7,2.4,90,21.7,44,637,30.9,19,12.4,0,0,
2023-03-23 11:10:00,10,3,16.7,2.7,88,21.8,44,637,31.1,18,12.4,0,0,
2023-03-23 11:15:00,9,3,16.7,3.1,118,21.7,44,637,31.3,18,12.4,0,0,
2023-03-23 11:20:00,7,3,16.7,2.6,79,22.5,42,637,31.5,18,12.4,0,0,
2023-03-23 11:25:00,15,3,16.7,2.4,91,22.1,43,637,31.7,18,12.4,0,0,
2023-03-23 11:30:00,38,3,16.7,2.8,98,22.4,42,637,31.9,18,12.4,0,0,
2023-03-23 11:35:00,41,3,16.7,2.6,106,22.3,42,637,32,17,12.4,0,0,
2023-03-23 11:40:00,0,3,16.7,2.9,101,22.4,41,637,32.2,17,12.4,0,0,
2023-03-23 11:45:00,-15,3,16.7,2,89,22.7,41,637,32.4,17,12.4,0,0,
2023-03-23 11:50:00,-15,3,16.7,1.8,62,23.4,40,637,32.7,17,12.4,0,0,
2023-03-23 11:55:00,15,3,16.7,1.9,95,23.3,39,637,32.9,17,12.4,0,0,
2023-03-23 12:00:00,35,11,16.7,2.2,106,23.2,40,637,33.2,16,12.4,0,0,
2023-03-23 12:05:00,29,11,16.1,2.7,106,22.6,40,637,33.2,16,12.4,0,0,
2023-03-23 12:10:00,20,11,16.7,2.4,81,23.2,38,637,33.2,16,12.4,0,0,
2023-03-23 12:15:00,-10,11,16.7,2.3,95,23.6,37,636,33.4,16,12.4,0,0,
2023-03-23 12:20:00,-15,11,16.7,2.6,79,23.6,38,636,33.6,16,12.4,0,0,
2023-03-23 12:25:00,-15,11,16.7,1.9,93,23.5,39,636,33.7,16,12.4,0,0,
2023-03-23 12:30:00,-5,11,16.7,2.3,100,23.2,40,636,33.8,16,12.4,0,0,
2023-03-23 12:35:00,7,11,16.7,2,84,23.5,38,636,33.8,16,12.4,0,0,
2023-03-23 12:40:00,15,11,16.7,2,71,23.9,38,636,34,16,12.4,0,0,
2023-03-23 12:45:00,8,11,16.7,1.9,99,24.2,37,636,34.1,16,12.4,0,0,
2023-03-23 12:50:00,7,11,16.7,2.8,105,24.3,37,636,34.3,15,12.4,0,0,
2023-03-23 12:55:00,6,11,16.7,2.7,123,24.7,36,636,34.5,16,12.4,0,0,
2023-03-23 13:00:00,5,0,16.7,2,102,25.4,34,636,34.8,15,12.4,0,0,
2023-03-23 13:05:00,1,0,16.7,2.8,109,25,35,636,35,15,12.4,0,0,
