"TOA5","CR300Series_Station 2","CR300","2342","CR300.Std.02.00","CPU:CR300 olifantsfontein.CR300","47560","TableHourly"
"TIMESTAMP","RECORD","BattV_Min","WSpeed_Max","WSpeed_S_WVT","WDir_D1_WVT","WDir_SD1_WVT","Temp_Max","Temp_Min","AirTC_Max","AirTC_Min","RH_Max","RH_Min","Rain_mm_Tot"
"TS","RN","Volts","meters/second","meters/second","Deg","Deg","Deg C","Deg C","Deg C","Deg C","%","%","mm"
"","","Min","Max","WVc","WVc","WVc","Max","Min","Max","Min","Max","Min","Tot"
"2021-04-22 17:00:00",0,12.37,1.77,0.734,321.1,44.1,21.7,21.4,20.94,20.28,39.52,35.24,0
"2021-04-22 18:00:00",1,12.38,5.38,1.531,346.1,21.7,21.5,18.8,20.29,18.09,50.64,37.11,0
"2021-04-22 19:00:00",2,12.38,4.28,1.444,332.5,20.09,19.4,17.8,18.09,16.28,56.5,50.61,0
"2021-04-22 20:00:00",3,12.38,3.31,1.354,325.7,16.39,18,16.8,16.73,15.25,59.51,54.95,0
"2021-04-22 21:00:00",4,12.38,2.89,0.911,315.9,17.17,17.2,15.4,15.43,14.13,63.04,58.39,0
"2021-04-22 22:00:00",5,12.38,3.63,1.203,315,22.64,16.5,15.1,14.37,13.61,63.95,62.12,0
"2021-04-22 23:00:00",6,12.37,2.22,0.611,304.8,33.6,15.8,13.9,13.65,12.64,67.5,63.33,0
"2021-04-23 00:00:00",7,12.37,5.02,1.49,283.6,14.32,15,13.6,13.9,12.14,68.35,61.36,0
"2021-04-23 01:00:00",8,12.37,7.36,2.89,236.5,33.1,14.9,13.6,14.57,13.67,61.75,58.65,0
"2021-04-23 02:00:00",9,12.37,8.78,3.613,190.2,23.37,13.7,13.3,13.68,13.2,66.88,61.3,0
"2021-04-23 03:00:00",10,12.37,6.46,2.72,154.6,20.1,13.3,12.9,13.24,12.64,69.88,66.82,0
"2021-04-23 04:00:00",11,12.37,5.88,2.084,158.8,21.07,12.9,11.9,12.69,11.72,74.36,69.79,0
"2021-04-23 05:00:00",12,12.37,4.28,1.588,158.9,18.48,12.2,11.4,11.75,10.87,78.64,74.42,0
"2021-04-23 06:00:00",13,12.37,3.22,1.438,150.2,20.61,11.6,11.2,11.2,10.83,78.41,77.13,0
"2021-04-23 07:00:00",14,12.37,3.11,1.478,157.8,29.79,11.6,11.1,10.88,10.11,80.5,77.42,0
"2021-04-23 08:00:00",15,12.37,3.36,1.003,118.8,43.59,14,11.1,13.17,10.81,79.1,68.67,0
"2021-04-23 09:00:00",16,12.37,3.85,1.703,167.6,33.62,14.8,12.9,15.74,13.17,70.32,61.32,0
"2021-04-23 10:00:00",17,12.38,6.09,2.676,184.9,27.51,17.9,13.6,18.13,15.5,63.51,50.17,0
"2021-04-23 11:00:00",18,12.38,14.44,5.784,190,22.6,19.3,16.9,20.26,17.89,50.69,42.26,0
"2021-04-23 12:00:00",19,12.38,10.39,3.957,178.4,24.92,22.1,17.2,22.6,18.78,46.7,33.81,0
"2021-04-23 13:00:00",20,12.39,8.81,3.166,198.9,36.13,22.4,19.3,23.11,20.19,38.59,30.37,0
"2021-04-23 14:00:00",21,12.38,9.75,3.765,198.8,27.72,21.7,19.4,22.09,20.12,36.48,30.94,0
"2021-04-23 15:00:00",22,12.38,9.88,3.52,236.8,30.07,23.1,20,23.09,20.54,32.74,27.7,0
"2021-04-23 16:00:00",23,12.38,11.83,4.285,250.4,25.11,22.1,20.3,22.41,21.19,31.23,28.51,0
"2021-04-23 17:00:00",24,12.38,9.59,4.359,248.2,20.81,22,20.4,22.24,20.57,31.76,29.29,0
"2021-04-23 18:00:00",25,12.38,8.25,3.514,253.8,16.74,20.7,19.3,20.58,19.2,35.27,31,0
"2021-04-23 19:00:00",26,12.38,5.6,2.442,256.1,15.75,19.4,18.2,19.26,18.15,38.71,34.78,0
"2021-04-23 20:00:00",27,12.38,8.86,2.334,147,46.67,18.4,15.8,18.18,15.83,44.59,38.65,0
"2021-04-23 21:00:00",28,12.38,4.86,1.774,105.5,28.59,15.9,14.3,15.84,13.79,51.38,43.56,0
"2021-04-23 22:00:00",29,12.37,2.82,1.001,94.5,22.09,14.7,13,13.78,12.08,59.15,51.31,0
"2021-04-23 23:00:00",30,12.37,5.3,1.745,75.72,42.94,13.6,12.9,13.23,12.06,58.73,55.85,0
"2021-04-24 00:00:00",31,12.37,4.51,1.079,47.87,72.5,13.6,11.8,12.95,11.05,63.75,56.54,0
"2021-04-24 01:00:00",32,12.37,2.01,0.67,187,85,12.6,11.1,11.05,10.02,69.5,63.67,0
"2021-04-24 02:00:00",33,12.37,2.4,0.708,311.8,99.4,12.2,11.1,11.68,10.04,70.29,64.1,0
"2021-04-24 03:00:00",34,12.37,2.24,0.776,335.5,87,11.8,10,10.18,8.96,75.96,70.03,0
