"TOA5","CR200test","CR200X","No_SN","CR200X.Std.02","RMyoungFinalProgram2021_cr200.CR2","36029","TableMin"
"TIMESTAMP","RECORD","BattV_Avg","AirTC_Avg","RH_Avg","WSpeed_Avg","WDir_Avg"
"TS","RN","Volts","Deg C","%","meters/sec","degrees"
"","","Avg","Avg","Avg","Avg","Avg"
"2023-07-28 01:00:00",6697,13.78229,50.68923,83.37762,"NAN",0
"2023-07-28 01:05:00",6698,13.77189,50.43048,83.44089,"NAN",0
"2023-07-28 01:10:00",6699,13.78262,50.76695,83.51213,"NAN",0
"2023-07-28 01:15:00",6700,13.77008,50.49349,83.43068,"NAN",0
"2023-07-28 01:20:00",6701,13.78854,50.77106,83.37893,"NAN",0
"2023-07-28 01:25:00",6702,13.78248,50.29848,83.3904,"NAN",0
"2023-07-28 01:30:00",6703,13.81094,50.78134,83.46803,"NAN",0
"2023-07-28 01:35:00",6704,13.79072,50.52779,83.49533,"NAN",0
"2023-07-28 01:40:00",6705,13.78152,50.41166,83.5678,"NAN",0
"2023-07-28 01:45:00",6706,13.79047,50.40392,83.51034,"NAN",0
"2023-07-28 01:50:00",6707,13.77756,50.30463,83.4557,"NAN",0
"2023-07-28 01:55:00",6708,13.78451,50.5085,83.44298,"NAN",0
"2023-07-28 02:00:00",6709,13.78772,50.43442,83.53725,"NAN",0
"2023-07-28 02:05:00",6710,13.77749,50.72889,83.43205,"NAN",0
"2023-07-28 02:10:00",6711,13.7776,50.6233,83.47392,"NAN",0
"2023-07-28 02:15:00",6712,13.79976,50.51,83.52861,"NAN",0
"2023-07-28 02:20:00",6713,13.76095,50.59655,83.42412,"NAN",0
"2023-07-28 02:25:00",6714,13.78525,50.59983,83.5419,"NAN",0
"2023-07-28 02:30:00",6715,13.76782,50.62599,83.54162,"NAN",0
"2023-07-28 02:35:00",6716,13.79757,50.23568,83.43504,"NAN",0
"2023-07-28 02:40:00",6717,13.77442,50.54281,83.47806,"NAN",0
"2023-07-28 02:45:00",6718,13.78269,50.61861,83.51208,"NAN",0
"2023-07-28 02:50:00",6719,13.77092,50.36567,83.51083,"NAN",0
"2023-07-28 02:55:00",6720,13.77789,50.52372,83.52792,"NAN",0
"2023-07-28 03:00:00",6721,13.79089,50.49103,83.46879,"NAN",0
"2023-07-28 03:05:00",6722,13.79064,50.36998,83.43118,"NAN",0
"2023-07-28 03:10:00",6723,13.74634,50.6406,83.49656,"NAN",0
"2023-07-28 03:15:00",6724,13.76716,50.57459,83.38583,"NAN",0
"2023-07-28 03:20:00",6725,13.84326,50.37113,83.50262,"NAN",0
"2023-07-28 03:25:00",6726,13.75057,50.40815,83.57303,"NAN",0
"2023-07-28 03:30:00",6727,13.76981,50.38935,83.48402,"NAN",0
"2023-07-28 03:35:00",6728,13.81023,50.38507,83.52541,"NAN",0
"2023-07-28 03:40:00",6729,13.77889,50.24822,83.52455,"NAN",0
"2023-07-28 03:45:00",6730,13.83226,50.30575,83.50383,"NAN",0
"2023-07-28 03:50:00",6731,13.77659,50.47808,83.53218,"NAN",0
"2023-07-28 03:55:00",6732,13.77894,50.43684,83.3475,"NAN",0
"2023-07-28 04:00:00",6733,13.78107,50.29438,83.63242,"NAN",0
"2023-07-28 04:05:00",6734,13.77385,50.3385,83.72027,"NAN",0
"2023-07-28 04:10:00",6735,13.77286,50.35674,83.72397,"NAN",0
"2023-07-28 04:15:00",6736,13.78804,50.31927,83.76069,"NAN",0
"2023-07-28 04:20:00",6737,13.75575,50.43862,83.62584,"NAN",0
"2023-07-28 04:25:00",6738,13.76303,50.3386,83.62402,"NAN",0
"2023-07-28 04:30:00",6739,13.79526,50.49884,83.6524,"NAN",0
"2023-07-28 04:35:00",6740,13.8054,51.3023,83.3269,"NAN",0
"2023-07-28 04:40:00",6741,13.80196,51.14301,83.36673,"NAN",0
"2023-07-28 04:45:00",6742,13.78402,50.90901,83.19442,"NAN",0
"2023-07-28 04:50:00",6743,13.54752,51.32935,83.31712,"NAN",0
"2023-07-28 04:55:00",6744,13.72754,51.24759,83.25659,"NAN",0
"2023-07-28 05:00:00",6745,13.77573,51.06068,83.69142,"NAN",0
"2023-07-28 05:05:00",6746,13.78496,50.92489,83.63163,"NAN",0
"2023-07-28 05:10:00",6747,13.76814,50.95883,83.71687,"NAN",0
"2023-07-28 05:15:00",6748,13.77034,50.87229,83.73634,"NAN",0
"2023-07-28 05:20:00",6749,13.78487,50.92441,83.85996,"NAN",0
"2023-07-28 05:25:00",6750,13.79895,50.90783,83.87039,"NAN",0
"2023-07-28 05:30:00",6751,13.76754,50.88302,83.89671,"NAN",0
"2023-07-28 05:35:00",6752,13.79701,50.68101,83.79774,"NAN",0
"2023-07-28 05:40:00",6753,13.7465,50.74902,84.03724,"NAN",0
"2023-07-28 05:45:00",6754,13.76968,50.99017,84.67634,"NAN",0
"2023-07-28 05:50:00",6755,13.78035,50.86704,83.86267,"NAN",0
"2023-07-28 05:55:00",6756,13.76196,51.01612,84.13377,"NAN",0
"2023-07-28 06:00:00",6757,13.79214,50.83514,84.04558,"NAN",0
"2023-07-28 06:05:00",6758,13.8005,51.03724,83.95993,"NAN",0
"2023-07-28 06:10:00",6759,13.76795,51.39933,83.79243,"NAN",0
"2023-07-28 06:15:00",6760,13.77501,50.96569,84.00156,"NAN",0
"2023-07-28 06:20:00",6761,13.76236,51.29311,83.75363,"NAN",0
"2023-07-28 06:25:00",6762,13.77594,51.26838,83.78634,"NAN",0
"2023-07-28 06:30:00",6763,13.796,51.19666,83.83733,"NAN",0
"2023-07-28 06:35:00",6764,13.76765,51.49553,83.70669,"NAN",0
"2023-07-28 06:40:00",6765,13.78977,51.62235,83.64115,"NAN",0
"2023-07-28 06:45:00",6766,13.79353,51.79205,83.81629,"NAN",0
"2023-07-28 06:50:00",6767,13.77049,51.05274,83.6146,"NAN",0
"2023-07-28 06:55:00",6768,13.79002,51.67916,83.61298,"NAN",0
"2023-07-28 07:00:00",6769,13.78943,51.6769,83.58777,"NAN",0
"2023-07-28 07:05:00",6770,13.76216,51.80897,83.53491,"NAN",0
"2023-07-28 07:10:00",6771,13.78192,51.71069,83.46758,"NAN",0
"2023-07-28 07:15:00",6772,13.75817,51.65371,83.57024,"NAN",0
"2023-07-28 07:20:00",6773,13.79684,51.53883,83.59785,"NAN",0
"2023-07-28 07:25:00",6774,13.77508,51.2467,83.6458,"NAN",0
"2023-07-28 07:30:00",6775,13.77203,51.44126,83.59229,"NAN",0
"2023-07-28 07:35:00",6776,13.75985,50.96014,83.77016,"NAN",0
"2023-07-28 07:40:00",6777,13.77345,51.31802,83.70617,"NAN",0
"2023-07-28 07:45:00",6778,13.7875,51.36975,83.75139,"NAN",0
"2023-07-28 07:50:00",6779,13.77069,51.12384,83.81542,"NAN",0
"2023-07-28 07:55:00",6780,13.7865,51.07564,83.76236,"NAN",0
"2023-07-28 08:00:00",6781,13.83349,51.23523,83.80706,"NAN",0
"2023-07-28 08:05:00",6782,13.74815,51.02829,83.93941,"NAN",0
"2023-07-28 08:10:00",6783,13.82909,51.35868,83.91946,"NAN",0
"2023-07-28 08:15:00",6784,13.76989,51.76104,83.93615,"NAN",0
"2023-07-28 08:20:00",6785,13.78081,51.36244,83.94655,"NAN",0
"2023-07-28 08:25:00",6786,13.7852,51.26198,84.09286,"NAN",0
"2023-07-28 08:30:00",6787,13.77676,50.95807,84.00144,"NAN",0
"2023-07-28 08:35:00",6788,13.77335,51.41761,84.10904,"NAN",0
"2023-07-28 08:40:00",6789,13.78091,51.53854,84.02798,"NAN",0
"2023-07-28 08:45:00",6790,13.76134,51.39704,83.96416,"NAN",0
"2023-07-28 08:50:00",6791,13.78102,51.09583,84.00645,"NAN",0
"2023-07-28 08:55:00",6792,13.78826,51.56421,84.03613,"NAN",0
