"TOA5","CR1000","CR1000","42842","CR1000.Std.22","CPU:Mbalenhle_Venter_Program_20230210.CR1","11019","Table1"
"TIMESTAMP","RECORD","WSpeed_Max","WSpeed_S_WVT","WDir_D1_WVT","WDir_SD1_WVT","Temp_Avg","AirTC_Avg","RH","Rain_mm_Tot","Batt_Volt_Avg","SO2_Avg","NO_Avg","NO2_Avg","NOx_Avg","O3_Avg","H2S_Avg","CO_Avg","Co2_Avg","LineV_Avg","Log_Temp_Avg","PM10_Avg","PM25_Avg"
"TS","RN","meters/second","meters/second","Deg","Deg","Deg C","Deg C","%","mm","Volts","ppb","ppb","ppb","ppb","ppb","ppb","ppm","ppm","Volts","Deg C","ug.m-3","ug.m-3"
"","","Max","WVc","WVc","WVc","Avg","Avg","Smp","Tot","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2023-11-11 03:32:00",390551,2.08,1.675,15.79,13.67,16.05,15.6,87.3,0,12.74513,0.1127827,1.240597,3.72179,4.060127,-370.9377,2.706752,0.131954,414.0564,228.5831,22.86791,62.21017,31.46593
"2023-11-11 03:33:00",390552,1.91,1.121,25.26,20.84,16,15.59,87.2,0,12.74529,0,-0.1127718,4.172698,4.849351,-371.8214,3.496043,0.1409696,413.7695,228.4987,22.86791,61.16954,35.18598
"2023-11-11 03:34:00",390553,2.42,1.473,11.94,24.55,16,15.54,87.3,0,12.74539,0,0.3383412,5.187831,5.300617,-374.2008,4.060045,0.1466128,414.4377,228.5785,22.86791,60.74278,35.18713
"2023-11-11 03:35:00",390554,2.7,1.944,12.55,11.77,16.01,15.52,87.5,0,12.74556,0,1.240644,5.300915,6.76713,-372.4178,3.721912,0.1567717,415.1808,228.6099,22.86791,60.735,31.46708
"2023-11-11 03:36:00",390555,3.97,2.453,15.51,9.18,16.03,15.51,87.5,0,12.74581,0.4511513,1.127865,5.864922,7.331144,-371.6329,4.060329,0.1488787,414.6815,228.5397,22.86791,59.75451,37.55816
"2023-11-11 03:37:00",390556,3.77,2.675,21.45,17.91,16.02,15.49,87.5,0,12.74595,0,0.2255761,6.767149,6.879937,-370.0501,4.060289,0.1624116,415.239,228.5923,22.86791,59.21255,34.39961
"2023-11-11 03:38:00",390557,2.73,1.715,7.113,13.04,16,15.49,87.5,0,12.74592,0.2255702,1.127856,6.767131,8.120557,-371.7409,4.060278,0.1624111,415.209,228.5368,22.86565,58.29884,32.59501
"2023-11-11 03:39:00",390558,1.56,1.045,11.08,12.1,15.98,15.46,87.6,0,12.74562,0.1127871,1.015089,6.654464,8.007916,-377.0486,4.060351,0.1669256,415.8976,228.6323,22.84984,58.28859,35.64091
"2023-11-11 03:40:00",390559,3.17,2.292,22.05,11.9,15.99,15.43,87.7,0,12.74514,0,1.353446,5.639341,8.007863,-369.6022,3.94754,0.170308,416.88,228.6124,22.8408,57.76938,35.07668
"2023-11-11 03:41:00",390560,2.82,2.456,7.174,11,15.98,15.42,87.8,0,12.7451,0,1.015076,6.428793,8.007794,-374.7874,3.947508,0.1657952,415.9724,228.5558,22.8408,57.84787,32.25673
"2023-11-11 03:42:00",390561,3.4,2.635,10.01,6.249,16,15.41,87.8,0,12.74496,3.178914E-06,1.240675,6.767312,8.120775,-371.8638,4.060388,0.166927,415.9599,228.5795,22.8408,58.76283,38.34801
"2023-11-11 03:43:00",390562,2.45,1.633,6.672,18.48,15.95,15.41,87.8,0,12.74393,0.2255666,1.353378,7.78191,8.007485,-371.3894,3.947356,0.1680445,415.5518,228.5652,22.8408,59.24411,33.49611
"2023-11-11 03:44:00",390563,1.33,1.128,20.69,25.12,15.92,15.38,87.8,0,12.74495,0,1.240551,8.119995,8.119995,-371.2642,3.947222,0.1691665,416.2907,228.5393,22.83101,58.49779,33.38226
"2023-11-11 03:45:00",390564,1.15,0.878,15.62,22.83,15.92,15.35,87.8,0,12.74534,0.1127829,1.015032,6.879611,8.12019,-372.8521,3.947314,0.1725541,416.5323,228.5996,22.81143,58.31876,38.45812
"2023-11-11 03:46:00",390565,2.47,1.468,46.68,30.49,15.96,15.32,87.9,0,12.74492,0.1127902,1.353475,6.767292,8.120749,-372.201,3.947585,0.1759496,416.691,228.5423,22.81877,57.79268,31.91911
"2023-11-11 03:47:00",390566,2.4,1.393,38.67,23.25,15.82,15.3,88,0,12.74471,0.1127811,2.481237,6.541447,8.12041,-371.7343,3.947424,0.1804535,416.6914,228.5693,22.81388,57.48574,34.8501
"2023-11-11 03:48:00",390567,2.09,1.199,22.36,21.95,15.73,15.26,88,0,12.74459,0.1127855,2.030177,8.007954,8.007951,-371.975,4.06037,0.1985071,417.5078,228.5785,22.81143,56.31507,36.31787
"2023-11-11 03:49:00",390568,2.11,1.553,25.56,11.07,15.86,15.22,88.2,0,12.74451,0,1.579034,6.880133,8.00801,-372.8799,3.947607,0.1906133,418.3585,228.5253,22.81143,54.40934,31.80641
"2023-11-11 03:50:00",390569,2.13,1.632,51.29,15.57,15.77,15.22,88.3,0,12.74446,0,1.466211,7.894948,8.346086,-375.7998,4.060264,0.1985016,417.0111,228.5908,22.81143,53.12178,36.5424
"2023-11-11 03:51:00",390570,2.53,1.905,48.43,12.15,15.91,15.21,88.3,0,12.74457,0.1127853,1.240618,8.120393,9.135444,-366.5454,4.060196,0.201882,417.1128,228.5505,22.81143,51.94796,35.52678
"2023-11-11 03:52:00",390571,2.46,1.805,35.95,18.58,15.85,15.21,88.4,0,12.74475,0.2255534,1.12777,8.007199,8.232759,-373.2933,4.059988,0.2120215,417.1069,228.5753,22.81143,50.7273,32.59267
"2023-11-11 03:53:00",390572,2.29,1.782,25.91,23.3,15.75,15.22,88.3,0,12.74479,0.1127854,2.59401,6.992519,8.007573,-375.228,3.947396,0.2030089,416.4612,228.6042,22.81143,49.45522,37.21817
"2023-11-11 03:54:00",390573,2.27,1.457,45.28,15.37,15.76,15.21,88.2,0,12.74522,0,2.14296,6.654423,8.007871,-373.8885,4.060328,0.2018885,417.2754,228.5579,22.81143,48.9495,34.62556
